Step,Total_Production_actual_log_diff_mean,Total_Production_actual_log_diff_CI_Upper,Total_Production_actual_log_diff_CI_Lower,Total_Production_actual_diff_SEM
15,0.2137,0.1989,0.2293,1.3717
15,0.2137,0.1989,0.2293,1.3717
15,0.2137,0.1989,0.2293,1.3717
15,0.2137,0.1989,0.2293,1.3717
15,0.2137,0.1989,0.2293,1.3717
15,0.2137,0.1989,0.2293,1.3717
15,0.2137,0.1989,0.2293,1.3717
15,0.2137,0.1989,0.2293,1.3717
16,0.2183,0.2035,0.2339,1.4889
16,0.2183,0.2035,0.2339,1.4889
16,0.2183,0.2035,0.2339,1.4889
16,0.2183,0.2035,0.2339,1.4889
16,0.2183,0.2035,0.2339,1.4889
16,0.2183,0.2035,0.2339,1.4889
16,0.2183,0.2035,0.2339,1.4889
16,0.2183,0.2035,0.2339,1.4889
16,0.2183,0.2035,0.2339,1.4889
16,0.2183,0.2035,0.2339,1.4889
17,0.2213,0.2066,0.2367,1.4288
17,0.2213,0.2066,0.2367,1.4288
17,0.2213,0.2066,0.2367,1.4288
17,0.2213,0.2066,0.2367,1.4288
17,0.2213,0.2066,0.2367,1.4288
17,0.2213,0.2066,0.2367,1.4288
17,0.2213,0.2066,0.2367,1.4288
17,0.2213,0.2066,0.2367,1.4288
17,0.2213,0.2066,0.2367,1.4288
17,0.2213,0.2066,0.2367,1.4288
18,0.22,0.2051,0.2357,1.2534
18,0.22,0.2051,0.2357,1.2534
18,0.22,0.2051,0.2357,1.2534
18,0.22,0.2051,0.2357,1.2534
18,0.22,0.2051,0.2357,1.2534
18,0.22,0.2051,0.2357,1.2534
18,0.22,0.2051,0.2357,1.2534
18,0.22,0.2051,0.2357,1.2534
18,0.22,0.2051,0.2357,1.2534
18,0.22,0.2051,0.2357,1.2534
19,0.2153,0.2003,0.2313,1.1432
19,0.2153,0.2003,0.2313,1.1432
19,0.2153,0.2003,0.2313,1.1432
19,0.2153,0.2003,0.2313,1.1432
19,0.2153,0.2003,0.2313,1.1432
19,0.2153,0.2003,0.2313,1.1432
19,0.2153,0.2003,0.2313,1.1432
19,0.2153,0.2003,0.2313,1.1432
19,0.2153,0.2003,0.2313,1.1432
19,0.2153,0.2003,0.2313,1.1432
20,0.2117,0.1966,0.2278,1.1848
20,0.2117,0.1966,0.2278,1.1848
20,0.2117,0.1966,0.2278,1.1848
20,0.2117,0.1966,0.2278,1.1848
20,0.2117,0.1966,0.2278,1.1848
20,0.2117,0.1966,0.2278,1.1848
20,0.2117,0.1966,0.2278,1.1848
20,0.2117,0.1966,0.2278,1.1848
20,0.2117,0.1966,0.2278,1.1848
20,0.2117,0.1966,0.2278,1.1848
