Run,Step,Firm,Optimal_k,Actual_k,Dividends,Total_Production_actual,Total_Production_optimal,Exit_Rate
0,0,0,2.0,2.0,1.7912339746895254,17.51032184548203,17.51032184548203,0
0,0,1,2.0,2.0,1.376753323814094,17.51032184548203,17.51032184548203,0
0,0,2,2.0,2.0,1.363091134225115,17.51032184548203,17.51032184548203,0
0,0,3,2.0,2.0,1.5180046652840795,17.51032184548203,17.51032184548203,0
0,0,4,2.0,2.0,1.474036504511975,17.51032184548203,17.51032184548203,0
0,0,5,2.0,2.0,1.4434781272761212,17.51032184548203,17.51032184548203,0
0,0,6,2.0,2.0,1.506013590960756,17.51032184548203,17.51032184548203,0
0,0,7,2.0,2.0,1.6331108242570709,17.51032184548203,17.51032184548203,0
0,0,8,2.0,2.0,1.4960555566709577,17.51032184548203,17.51032184548203,0
0,0,9,2.0,2.0,1.5112084183322516,17.51032184548203,17.51032184548203,0
0,1,0,3.6236208460164145,3.623620846016414,2.7153839434928217,17.51032184548203,23.584249018814393,0
0,1,1,2.7851370141970717,2.7851370141970717,1.7359121073840438,17.51032184548203,23.584249018814393,0
0,1,2,2.7574987515823657,2.7574987515823652,1.706729217587885,17.51032184548203,23.584249018814393,0
0,1,3,3.0708848911974176,3.0708848911974185,2.049446499921573,17.51032184548203,23.584249018814393,0
0,1,4,2.9819384184383715,2.981938418438372,1.9495586784250576,17.51032184548203,23.584249018814393,0
0,1,5,2.9201195972587057,2.9201195972587053,1.881350259979793,17.51032184548203,23.584249018814393,0
0,1,6,3.0466272523305244,3.046627252330525,2.0220012511710963,17.51032184548203,23.584249018814393,0
0,1,7,3.303741727910615,3.303741727910616,2.320592703946872,17.51032184548203,23.584249018814393,0
0,1,8,3.0264824018264944,3.0264824018264944,1.9993251616164522,17.51032184548203,23.584249018814393,0
0,1,9,3.0571362561908777,3.057136256190878,2.0338724995434188,17.51032184548203,23.584249018814393,0
0,2,0,5.493152765977617,6.316866596440139,4.006660225182082,25.568795143596038,32.34842573683321,0
0,2,1,3.5117061132448653,4.14725785873001,2.2938650469056414,25.568795143596038,32.34842573683321,0
0,2,2,3.452669868227969,4.045735438610214,2.232040815382608,25.568795143596038,32.34842573683321,0
0,2,3,4.145978227773629,4.869770598907796,2.8301409260694625,25.568795143596038,32.34842573683321,0
0,2,4,3.9439077013363,4.563971678722765,2.626196997913453,25.568795143596038,32.34842573683321,0
0,2,5,3.805923802836992,4.412664970213933,2.511770058151684,25.568795143596038,32.34842573683321,0
0,2,6,4.0904571864682495,4.770129799367259,2.7674452128509497,25.568795143596038,32.34842573683321,0
0,2,7,4.694500113304856,5.415300590213618,3.2796723477542025,25.568795143596038,32.34842573683321,0
0,2,8,4.044584033112845,4.714081864403257,2.7264950195435183,25.568795143596038,32.34842573683321,0
0,2,9,4.114472420479006,4.765879076359726,2.775258749105225,25.568795143596038,32.34842573683321,0
0,3,0,8.105371894473542,9.418764127817926,5.299404446395452,35.28985976526962,40.7041138724548,0
0,3,1,4.640430741805486,5.547954209034534,2.8120830599391295,35.28985976526962,40.7041138724548,0
0,3,2,4.515361891336277,5.3534834996145335,2.715497604584569,35.28985976526962,40.7041138724548,0
0,3,3,5.72530322770763,6.805374199073056,3.577243609196963,35.28985976526962,40.7041138724548,0
0,3,4,5.312729839793477,6.215327716823792,3.259958450874834,35.28985976526962,40.7041138724548,0
0,3,5,5.081247046297177,5.956594556495764,3.0987592681599825,35.28985976526962,40.7041138724548,0
0,3,6,5.598471391897989,6.60369851711048,3.4750332207800843,35.28985976526962,40.7041138724548,0
0,3,7,6.634693878830446,7.735506544121202,4.209560841806422,35.28985976526962,40.7041138724548,0
0,3,8,5.515630190684769,6.5022214607644555,3.414836812851425,35.28985976526962,40.7041138724548,0
0,3,9,5.614277977331366,6.574781063677505,3.4763242197925983,35.28985976526962,40.7041138724548,0
0,4,0,10.720560627351377,10.99016170593766,5.903834557752827,41.27853036022985,43.506212500792586,0
0,4,1,5.688772623069119,5.861436216441168,2.922388613463498,41.27853036022985,43.506212500792586,0
0,4,2,5.493382699480026,5.651630236851215,2.8204961685839445,41.27853036022985,43.506212500792586,0
0,4,3,7.236672984506067,7.44854586899011,3.8106771593741717,41.27853036022985,43.506212500792586,0
0,4,4,6.594813166038205,6.768697999021473,3.460515813971472,41.27853036022985,43.506212500792586,0
0,4,5,6.268711312734762,6.436310184573364,3.2714108265737822,41.27853036022985,43.506212500792586,0
0,4,6,7.029903964165754,7.225800501047803,3.7010765773728087,41.27853036022985,43.506212500792586,0
0,4,7,8.515834689651925,8.735116385317985,4.5833470950301916,41.27853036022985,43.506212500792586,0
0,4,8,6.908128159492662,7.099900136124463,3.6316441961040047,41.27853036022985,43.506212500792586,0
0,4,9,7.032515622385749,7.219238782558867,3.711481942658189,41.27853036022985,43.506212500792586,0
0,5,0,11.943307394341565,10.332577566522792,5.654281067948015,40.2136514825929,40.049450664959856,0
0,5,1,5.911917956861463,4.9496310857975905,2.5961878797012092,40.2136514825929,40.049450664959856,0
0,5,2,5.7057921282236235,4.8243231896323024,2.524697628370608,40.2136514825929,40.049450664959856,0
0,5,3,7.708903128939525,6.498519663383649,3.4635560129171603,40.2136514825929,40.049450664959856,0
0,5,4,7.00053561883225,6.010651313314641,3.184434469535638,40.2136514825929,40.049450664959856,0
0,5,5,6.617981031267153,5.6690988274197,2.9932916218443406,40.2136514825929,40.049450664959856,0
0,5,6,7.487183934636888,6.368287650707658,3.3878468111759186,40.2136514825929,40.049450664959856,0
