Run,Step,Firm,Optimal_K,Actual_K,Dividends,Total_Production_actual,Total_Production_optimal,Exit_Rate
0,0,0,1.0,1.0,1.1424976339703545,10.785356837053573,10.0,0
0,0,1,1.0,1.0,1.2698633313064658,10.785356837053573,10.0,0
0,0,2,1.0,1.0,1.1678652113593244,10.785356837053573,10.0,0
0,0,3,1.0,1.0,0.8705681688908372,10.785356837053573,10.0,0
0,0,4,1.0,1.0,0.9335936717632579,10.785356837053573,10.0,0
0,0,5,1.0,1.0,1.0502222795317973,10.785356837053573,10.0,0
0,0,6,1.0,1.0,0.8375372942124327,10.785356837053573,10.0,0
0,0,7,1.0,1.0,1.4314443489028406,10.785356837053573,10.0,0
0,0,8,1.0,1.0,0.8776088973430692,10.785356837053573,10.0,0
0,0,9,1.0,1.0,0.9899024761089074,10.785356837053573,10.0,0
0,1,0,2.3112437020948033,2.3112437020948033,2.0537488245745377,18.347081432444188,21.38507357110069,0
0,1,1,2.568901273610298,2.568901273610298,2.4579903441108644,18.347081432444188,21.38507357110069,0
0,1,2,2.3625616669941345,2.3625616669941345,2.1318710348358008,18.347081432444188,21.38507357110069,0
0,1,3,1.7611372993402297,1.7611372993402297,1.2937728534995478,18.347081432444188,21.38507357110069,0
0,1,4,1.8886362912453805,1.8886362912453805,1.457007310029991,18.347081432444188,21.38507357110069,0
0,1,5,2.1245730032124497,2.1245730032124497,1.779800761543148,18.347081432444188,21.38507357110069,0
0,1,6,1.694316678618379,1.694316678618379,1.2114356915533415,18.347081432444188,21.38507357110069,0
0,1,7,2.8957755691831335,2.8957755691831335,3.013074695799402,18.347081432444188,21.38507357110069,0
0,1,8,1.7753805142139714,1.7753805142139714,1.3116109441886978,18.347081432444188,21.38507357110069,0
0,1,9,2.0025475725879094,2.0025475725879094,1.609534907134093,18.347081432444188,21.38507357110069,0
0,2,0,4.1546817212977025,4.1546817212977025,3.096219495400582,26.84462316347752,37.06058602834551,0
0,2,1,4.972452050420163,4.972452050420163,3.90262125353793,26.84462316347752,37.06058602834551,0
0,2,2,4.312720968899992,4.312720968899992,3.24876781517631,26.84462316347752,37.06058602834551,0
0,2,3,2.617269629872724,2.617269629872724,1.707248381882367,26.84462316347752,37.06058602834551,0
0,2,4,2.9474887904234266,2.9474887904234266,1.9896395842480026,26.84462316347752,37.06058602834551,0
0,2,5,3.6004917461447223,3.6004917461447223,2.5747466454457504,26.84462316347752,37.06058602834551,0
0,2,6,2.4507036420420065,2.4507036420420065,1.5685837513351064,26.84462316347752,37.06058602834551,0
0,2,7,6.095373598636515,6.095373598636515,5.073114904885709,26.84462316347752,37.06058602834551,0
0,2,8,2.6533556343744746,2.6533556343744746,1.7376321436114242,26.84462316347752,37.06058602834551,0
0,2,9,3.2560482462337803,3.2560482462337803,2.261913499580596,26.84462316347752,37.06058602834551,0
0,3,0,6.2635734169349115,6.2635734169349115,4.126965420126961,35.19209999036139,54.94497647623773,0
0,3,1,7.894903696697647,7.894903696697647,5.393861222541045,35.19209999036139,54.94497647623773,0
0,3,2,6.572174794183754,6.572174794183754,4.363039005430627,35.19209999036139,54.94497647623773,0
0,3,3,3.4537201244125737,3.4537201244125737,2.0730213865640965,35.19209999036139,54.94497647623773,0
0,3,4,4.024990356042209,4.024990356042209,2.474533229387227,35.19209999036139,54.94497647623773,0
0,3,5,5.20864708322943,5.20864708322943,3.3341772195220227,35.19209999036139,54.94497647623773,0
0,3,6,3.173205097924585,3.173205097924585,1.8795455491198416,35.19209999036139,54.94497647623773,0
0,3,7,10.262782631044482,10.262782631044482,7.305670145616677,35.19209999036139,54.94497647623773,0
0,3,8,3.5151857028559994,3.5151857028559994,2.115752237216192,35.19209999036139,54.94497647623773,0
0,3,9,4.575793572912135,4.575793572912135,2.87024459214757,35.19209999036139,54.94497647623773,0
0,4,0,8.348746248938818,8.348746248938818,5.0464990088534805,42.627175921952855,72.69925410258242,0
0,4,1,10.91164428695425,10.91164428695425,6.76519193575753,42.627175921952855,72.69925410258242,0
0,4,2,8.826317117394723,8.826317117394723,5.363377807651849,42.627175921952855,72.69925410258242,0
0,4,3,4.193669624814669,4.193669624814669,2.374754577745237,42.627175921952855,72.69925410258242,0
0,4,4,5.005917887260979,5.005917887260979,2.8826804602277547,42.627175921952855,72.69925410258242,0
0,4,5,6.744955850375262,6.744955850375262,3.9954583255472835,42.627175921952855,72.69925410258242,0
0,4,6,3.802272918594309,3.802272918594309,2.133214146274763,42.627175921952855,72.69925410258242,0
0,4,7,14.779185191797698,14.779185191797698,9.430393442030162,42.627175921952855,72.69925410258242,0
0,4,8,4.280113050619937,4.280113050619937,2.428396988735051,42.627175921952855,72.69925410258242,0
0,4,9,5.806431925831781,5.806431925831781,3.391009041311422,42.627175921952855,72.69925410258242,0
0,5,0,10.208939349228379,10.208939349228379,5.809539995641515,48.799129262006495,88.62849141863003,0
0,5,1,13.685811497608638,13.685811497608638,7.927684724382706,48.799129262006495,88.62849141863003,0
0,5,2,10.849977112698356,10.849977112698356,6.197162685297511,48.799129262006495,88.62849141863003,0
0,5,3,4.804068208667205,4.804068208667205,2.611735541816528,48.799129262006495,88.62849141863003,0
0,5,4,5.831589371174162,5.831589371174162,3.2078108666452643,48.799129262006495,88.62849141863003,0
0,5,5,8.082710735962035,8.082710735962035,4.534935899887811,48.799129262006495,88.62849141863003,0
0,5,6,4.315438049235401,4.315438049235401,2.3308889074001073,48.799129262006495,88.62849141863003,0
0,5,7,19.077446467371775,19.077446467371775,11.275573463577723,48.799129262006495,88.62849141863003,0
0,5,8,4.912585443958572,4.912585443958572,2.674349109920646,48.799129262006495,88.62849141863003,0
0,5,9,6.859925182725521,6.859925182725521,3.8107984155529238,48.799129262006495,88.62849141863003,0
0,6,0,11.752551889610944,11.752551889610944,6.411325605191574,53.67148852848085,101.91843094042962,0
0,6,1,16.03750488983345,16.03750488983345,8.858348129991711,53.67148852848085,101.91843094042962,0
0,6,2,12.53670274788722,12.53670274788722,6.8567932063994,53.67148852848085,101.91843094042962,0
0,6,3,5.2834746813289595,5.2834746813289595,2.7915571616721873,53.67148852848085,101.91843094042962,0
0,6,4,6.489319927324697,6.489319927324697,3.456983679279983,53.67148852848085,101.91843094042962,0
0,6,5,9.174060169906053,9.174060169906053,4.955350019702172,53.67148852848085,101.91843094042962,0
0,6,6,4.715329071439392,4.715329071439392,2.4800621203816196,53.67148852848085,101.91843094042962,0
0,6,7,22.81019879633074,22.81019879633074,12.778056896079562,53.67148852848085,101.91843094042962,0
0,6,8,5.410140339658088,5.410140339658088,2.861191915000274,53.67148852848085,101.91843094042962,0
0,6,9,7.709148427110083,7.709148427110083,4.1352035857922615,53.67148852848085,101.91843094042962,0
0,7,0,12.969948896596733,12.969948896596733,6.869293850888893,57.383268389237166,112.44678523640624,0
0,7,1,17.920213327056985,17.920213327056985,9.57408337924022,57.383268389237166,112.44678523640624,0
0,7,2,13.871118542087293,13.871118542087293,7.359880451166958,57.383268389237166,112.44678523640624,0
0,7,3,5.647249252088956,5.647249252088956,2.924749351444449,57.383268389237166,112.44678523640624,0
