Step,Total_Production_actual_log_diff_mean,Total_Production_actual_log_diff_CI_Upper,Total_Production_actual_log_diff_CI_Lower,Total_Production_actual_diff_SEM
15,0.0798,0.0604,0.1002,1.2395
15,0.0798,0.0604,0.1002,1.2395
15,0.0798,0.0604,0.1002,1.2395
15,0.0798,0.0604,0.1002,1.2395
15,0.0798,0.0604,0.1002,1.2395
15,0.0798,0.0604,0.1002,1.2395
15,0.0798,0.0604,0.1002,1.2395
16,0.0833,0.0642,0.1034,1.3497
16,0.0833,0.0642,0.1034,1.3497
16,0.0833,0.0642,0.1034,1.3497
16,0.0833,0.0642,0.1034,1.3497
16,0.0833,0.0642,0.1034,1.3497
16,0.0833,0.0642,0.1034,1.3497
16,0.0833,0.0642,0.1034,1.3497
16,0.0833,0.0642,0.1034,1.3497
16,0.0833,0.0642,0.1034,1.3497
16,0.0833,0.0642,0.1034,1.3497
17,0.0853,0.0663,0.1053,1.2939
17,0.0853,0.0663,0.1053,1.2939
17,0.0853,0.0663,0.1053,1.2939
17,0.0853,0.0663,0.1053,1.2939
17,0.0853,0.0663,0.1053,1.2939
17,0.0853,0.0663,0.1053,1.2939
17,0.0853,0.0663,0.1053,1.2939
17,0.0853,0.0663,0.1053,1.2939
17,0.0853,0.0663,0.1053,1.2939
17,0.0853,0.0663,0.1053,1.2939
18,0.0834,0.0643,0.1035,1.137
18,0.0834,0.0643,0.1035,1.137
18,0.0834,0.0643,0.1035,1.137
18,0.0834,0.0643,0.1035,1.137
18,0.0834,0.0643,0.1035,1.137
18,0.0834,0.0643,0.1035,1.137
18,0.0834,0.0643,0.1035,1.137
18,0.0834,0.0643,0.1035,1.137
18,0.0834,0.0643,0.1035,1.137
18,0.0834,0.0643,0.1035,1.137
19,0.0786,0.0587,0.0996,1.0306
19,0.0786,0.0587,0.0996,1.0306
19,0.0786,0.0587,0.0996,1.0306
19,0.0786,0.0587,0.0996,1.0306
19,0.0786,0.0587,0.0996,1.0306
19,0.0786,0.0587,0.0996,1.0306
19,0.0786,0.0587,0.0996,1.0306
19,0.0786,0.0587,0.0996,1.0306
19,0.0786,0.0587,0.0996,1.0306
19,0.0786,0.0587,0.0996,1.0306
20,0.0771,0.0568,0.0984,1.0668
20,0.0771,0.0568,0.0984,1.0668
20,0.0771,0.0568,0.0984,1.0668
20,0.0771,0.0568,0.0984,1.0668
20,0.0771,0.0568,0.0984,1.0668
20,0.0771,0.0568,0.0984,1.0668
20,0.0771,0.0568,0.0984,1.0668
20,0.0771,0.0568,0.0984,1.0668
20,0.0771,0.0568,0.0984,1.0668
20,0.0771,0.0568,0.0984,1.0668
